id,storage_size,write_bandwidth,read_bandwidth,annual_failure_rate
478,4000000,112,133,2.6
479,12000000,110,112,0.9
480,14000000,281,406,1.35
481,16000000,209,220,0.8
482,14000000,208,202,0.97
483,12000000,197,204,1.18
484,12000000,193,204,1.8
485,12000000,190,189,0.64
486,16000000,168,170,0.31
487,8000000,164,170,1.84
488,4000000,112,133,2.6
489,12000000,110,112,0.9
490,14000000,281,406,1.35
491,16000000,209,220,0.8
492,14000000,208,202,0.97
493,12000000,197,204,1.18
494,12000000,193,204,1.8
495,12000000,190,189,0.64
496,16000000,168,170,0.31
497,8000000,164,170,1.84
498,4000000,112,133,2.6
499,12000000,110,112,0.9
500,14000000,281,406,1.35
501,16000000,209,220,0.8
502,14000000,208,202,0.97
503,12000000,197,204,1.18
504,12000000,193,204,1.8
505,12000000,190,189,0.64
506,16000000,168,170,0.31
507,8000000,164,170,1.84
508,4000000,112,133,2.6
509,12000000,110,112,0.9
510,14000000,281,406,1.35
511,16000000,209,220,0.8
512,14000000,208,202,0.97
513,12000000,197,204,1.18
514,12000000,193,204,1.8
515,12000000,190,189,0.64
516,16000000,168,170,0.31
517,8000000,164,170,1.84
518,4000000,112,133,2.6
519,12000000,110,112,0.9
520,14000000,281,406,1.35
521,16000000,209,220,0.8
522,14000000,208,202,0.97
523,12000000,197,204,1.18
524,12000000,193,204,1.8
525,12000000,190,189,0.64
526,16000000,168,170,0.31
527,8000000,164,170,1.84
528,4000000,112,133,2.6
529,12000000,110,112,0.9
530,14000000,281,406,1.35
531,16000000,209,220,0.8
532,14000000,208,202,0.97
533,12000000,197,204,1.18
534,12000000,193,204,1.8
535,12000000,190,189,0.64
536,16000000,168,170,0.31
537,8000000,164,170,1.84
538,4000000,112,133,2.6
539,12000000,110,112,0.9
540,14000000,281,406,1.35
541,16000000,209,220,0.8
542,14000000,208,202,0.97
543,12000000,197,204,1.18
544,12000000,193,204,1.8
545,12000000,190,189,0.64
546,16000000,168,170,0.31
547,8000000,164,170,1.84
548,4000000,112,133,2.6
549,12000000,110,112,0.9
550,14000000,281,406,1.35
551,16000000,209,220,0.8
552,14000000,208,202,0.97
553,12000000,197,204,1.18
554,12000000,193,204,1.8
555,12000000,190,189,0.64
556,16000000,168,170,0.31
557,8000000,164,170,1.84
558,4000000,112,133,2.6
559,12000000,110,112,0.9
560,14000000,281,406,1.35
561,16000000,209,220,0.8
562,14000000,208,202,0.97
563,12000000,197,204,1.18
564,12000000,193,204,1.8
565,12000000,190,189,0.64
566,16000000,168,170,0.31
567,8000000,164,170,1.84
568,4000000,112,133,2.6
569,12000000,110,112,0.9
570,14000000,281,406,1.35
571,16000000,209,220,0.8
572,14000000,208,202,0.97
573,12000000,197,204,1.18
574,12000000,193,204,1.8
575,12000000,190,189,0.64
576,16000000,168,170,0.31
577,8000000,164,170,1.84
578,4000000,112,133,2.6
579,12000000,110,112,0.9
580,14000000,281,406,1.35
581,16000000,209,220,0.8
582,14000000,208,202,0.97
583,12000000,197,204,1.18
584,12000000,193,204,1.8
585,12000000,190,189,0.64
586,16000000,168,170,0.31
587,8000000,164,170,1.84
588,4000000,112,133,2.6
589,12000000,110,112,0.9
590,14000000,281,406,1.35
591,16000000,209,220,0.8
592,14000000,208,202,0.97
593,12000000,197,204,1.18
594,12000000,193,204,1.8
595,12000000,190,189,0.64
596,16000000,168,170,0.31
597,8000000,164,170,1.84
598,4000000,112,133,2.6
599,12000000,110,112,0.9
600,14000000,281,406,1.35
601,16000000,209,220,0.8
602,14000000,208,202,0.97
603,12000000,197,204,1.18
604,12000000,193,204,1.8
605,12000000,190,189,0.64
606,16000000,168,170,0.31
607,8000000,164,170,1.84
608,4000000,112,133,2.6
609,12000000,110,112,0.9
610,14000000,281,406,1.35
611,16000000,209,220,0.8
612,14000000,208,202,0.97
613,12000000,197,204,1.18
614,12000000,193,204,1.8
615,12000000,190,189,0.64
616,16000000,168,170,0.31
617,8000000,164,170,1.84
618,4000000,112,133,2.6
619,12000000,110,112,0.9
620,14000000,281,406,1.35
621,16000000,209,220,0.8
622,14000000,208,202,0.97
623,12000000,197,204,1.18
624,12000000,193,204,1.8
625,12000000,190,189,0.64
626,16000000,168,170,0.31
627,8000000,164,170,1.84
628,4000000,112,133,2.6
629,12000000,110,112,0.9
630,14000000,281,406,1.35
631,16000000,209,220,0.8
632,14000000,208,202,0.97
633,12000000,197,204,1.18
634,12000000,193,204,1.8
635,12000000,190,189,0.64
636,16000000,168,170,0.31
637,8000000,164,170,1.84
638,4000000,112,133,2.6
639,12000000,110,112,0.9
640,14000000,281,406,1.35
641,16000000,209,220,0.8
642,14000000,208,202,0.97
643,12000000,197,204,1.18
644,12000000,193,204,1.8
645,12000000,190,189,0.64
646,16000000,168,170,0.31
647,8000000,164,170,1.84
648,4000000,112,133,2.6
649,12000000,110,112,0.9
650,14000000,281,406,1.35
651,16000000,209,220,0.8
652,14000000,208,202,0.97
653,12000000,197,204,1.18
654,12000000,193,204,1.8
655,12000000,190,189,0.64
656,16000000,168,170,0.31
657,8000000,164,170,1.84
658,4000000,112,133,2.6
659,12000000,110,112,0.9
660,14000000,281,406,1.35
661,16000000,209,220,0.8
662,14000000,208,202,0.97
663,12000000,197,204,1.18
664,12000000,193,204,1.8
665,12000000,190,189,0.64
666,16000000,168,170,0.31
667,8000000,164,170,1.84
668,4000000,112,133,2.6
669,12000000,110,112,0.9
670,14000000,281,406,1.35
671,16000000,209,220,0.8
672,14000000,208,202,0.97
673,12000000,197,204,1.18
674,12000000,193,204,1.8
675,12000000,190,189,0.64
676,16000000,168,170,0.31
677,8000000,164,170,1.84
678,4000000,112,133,2.6
679,12000000,110,112,0.9
680,14000000,281,406,1.35
681,16000000,209,220,0.8
682,14000000,208,202,0.97
683,12000000,197,204,1.18
684,12000000,193,204,1.8
685,12000000,190,189,0.64
686,16000000,168,170,0.31
687,8000000,164,170,1.84
688,4000000,112,133,2.6
689,12000000,110,112,0.9
690,14000000,281,406,1.35
691,16000000,209,220,0.8
692,14000000,208,202,0.97
693,12000000,197,204,1.18
694,12000000,193,204,1.8
695,12000000,190,189,0.64
696,16000000,168,170,0.31
697,8000000,164,170,1.84
698,4000000,112,133,2.6
699,12000000,110,112,0.9
700,14000000,281,406,1.35
701,16000000,209,220,0.8
702,14000000,208,202,0.97
703,12000000,197,204,1.18
704,12000000,193,204,1.8
705,12000000,190,189,0.64
706,16000000,168,170,0.31
707,8000000,164,170,1.84
708,4000000,112,133,2.6
709,12000000,110,112,0.9
710,14000000,281,406,1.35
711,16000000,209,220,0.8
712,14000000,208,202,0.97
713,12000000,197,204,1.18
714,12000000,193,204,1.8
715,12000000,190,189,0.64
716,16000000,168,170,0.31
717,8000000,164,170,1.84
718,4000000,112,133,2.6
719,12000000,110,112,0.9
720,14000000,281,406,1.35
721,16000000,209,220,0.8
722,14000000,208,202,0.97
723,12000000,197,204,1.18
724,12000000,193,204,1.8
725,12000000,190,189,0.64
726,16000000,168,170,0.31
727,8000000,164,170,1.84
728,4000000,112,133,2.6
729,12000000,110,112,0.9
730,14000000,281,406,1.35
731,16000000,209,220,0.8
732,14000000,208,202,0.97
733,12000000,197,204,1.18
734,12000000,193,204,1.8
735,12000000,190,189,0.64
736,16000000,168,170,0.31
737,8000000,164,170,1.84
738,4000000,112,133,2.6
739,12000000,110,112,0.9
740,14000000,281,406,1.35
741,16000000,209,220,0.8
742,14000000,208,202,0.97
743,12000000,197,204,1.18
744,12000000,193,204,1.8
745,12000000,190,189,0.64
746,16000000,168,170,0.31
747,8000000,164,170,1.84
748,4000000,112,133,2.6
749,12000000,110,112,0.9
750,14000000,281,406,1.35
751,16000000,209,220,0.8
752,14000000,208,202,0.97
753,12000000,197,204,1.18
754,12000000,193,204,1.8
755,12000000,190,189,0.64
756,16000000,168,170,0.31
757,8000000,164,170,1.84
758,4000000,112,133,2.6
759,12000000,110,112,0.9
760,14000000,281,406,1.35
761,16000000,209,220,0.8
762,14000000,208,202,0.97
763,12000000,197,204,1.18
764,12000000,193,204,1.8
765,12000000,190,189,0.64
766,16000000,168,170,0.31
767,8000000,164,170,1.84
768,4000000,112,133,2.6
769,12000000,110,112,0.9
770,14000000,281,406,1.35
771,16000000,209,220,0.8
772,14000000,208,202,0.97
773,12000000,197,204,1.18
774,12000000,193,204,1.8
775,12000000,190,189,0.64
776,16000000,168,170,0.31
777,8000000,164,170,1.84
778,4000000,112,133,2.6
779,12000000,110,112,0.9
780,14000000,281,406,1.35
781,16000000,209,220,0.8
782,14000000,208,202,0.97
783,12000000,197,204,1.18
784,12000000,193,204,1.8
785,12000000,190,189,0.64
786,16000000,168,170,0.31
787,8000000,164,170,1.84
788,4000000,112,133,2.6
789,12000000,110,112,0.9
790,14000000,281,406,1.35
791,16000000,209,220,0.8
792,14000000,208,202,0.97
793,12000000,197,204,1.18
794,12000000,193,204,1.8
795,12000000,190,189,0.64
796,16000000,168,170,0.31
797,8000000,164,170,1.84
798,4000000,112,133,2.6
799,12000000,110,112,0.9
800,14000000,281,406,1.35
801,16000000,209,220,0.8
802,14000000,208,202,0.97
803,12000000,197,204,1.18
804,12000000,193,204,1.8
805,12000000,190,189,0.64
806,16000000,168,170,0.31
807,8000000,164,170,1.84
808,4000000,112,133,2.6
809,12000000,110,112,0.9
810,14000000,281,406,1.35
811,16000000,209,220,0.8
812,14000000,208,202,0.97
813,12000000,197,204,1.18
814,12000000,193,204,1.8
815,12000000,190,189,0.64
816,16000000,168,170,0.31
817,8000000,164,170,1.84
818,4000000,112,133,2.6
819,12000000,110,112,0.9
820,14000000,281,406,1.35
821,16000000,209,220,0.8
822,14000000,208,202,0.97
823,12000000,197,204,1.18
824,12000000,193,204,1.8
825,12000000,190,189,0.64
826,16000000,168,170,0.31
827,8000000,164,170,1.84
828,4000000,112,133,2.6
829,12000000,110,112,0.9
830,14000000,281,406,1.35
831,16000000,209,220,0.8
832,14000000,208,202,0.97
833,12000000,197,204,1.18
834,12000000,193,204,1.8
835,12000000,190,189,0.64
836,16000000,168,170,0.31
837,8000000,164,170,1.84
838,4000000,112,133,2.6
839,12000000,110,112,0.9
840,14000000,281,406,1.35
841,16000000,209,220,0.8
842,14000000,208,202,0.97
843,12000000,197,204,1.18
844,12000000,193,204,1.8
845,12000000,190,189,0.64
846,16000000,168,170,0.31
847,8000000,164,170,1.84
848,4000000,112,133,2.6
849,12000000,110,112,0.9
850,14000000,281,406,1.35
851,16000000,209,220,0.8
852,14000000,208,202,0.97
853,12000000,197,204,1.18
854,12000000,193,204,1.8
855,12000000,190,189,0.64
856,16000000,168,170,0.31
857,8000000,164,170,1.84
858,4000000,112,133,2.6
859,12000000,110,112,0.9
860,14000000,281,406,1.35
861,16000000,209,220,0.8
862,14000000,208,202,0.97
863,12000000,197,204,1.18
864,12000000,193,204,1.8
865,12000000,190,189,0.64
866,16000000,168,170,0.31
867,8000000,164,170,1.84
868,4000000,112,133,2.6
869,12000000,110,112,0.9
870,14000000,281,406,1.35
871,16000000,209,220,0.8
872,14000000,208,202,0.97
873,12000000,197,204,1.18
874,12000000,193,204,1.8
875,12000000,190,189,0.64
876,16000000,168,170,0.31
877,8000000,164,170,1.84
878,4000000,112,133,2.6
879,12000000,110,112,0.9
880,14000000,281,406,1.35
881,16000000,209,220,0.8
882,14000000,208,202,0.97
883,12000000,197,204,1.18
884,12000000,193,204,1.8
885,12000000,190,189,0.64
886,16000000,168,170,0.31
887,8000000,164,170,1.84
888,4000000,112,133,2.6
889,12000000,110,112,0.9
890,14000000,281,406,1.35
891,16000000,209,220,0.8
892,14000000,208,202,0.97
893,12000000,197,204,1.18
894,12000000,193,204,1.8
895,12000000,190,189,0.64
896,16000000,168,170,0.31
897,8000000,164,170,1.84
898,4000000,112,133,2.6
899,12000000,110,112,0.9
900,14000000,281,406,1.35
901,16000000,209,220,0.8
902,14000000,208,202,0.97
903,12000000,197,204,1.18
904,12000000,193,204,1.8
905,12000000,190,189,0.64
906,16000000,168,170,0.31
907,8000000,164,170,1.84
908,4000000,112,133,2.6
909,12000000,110,112,0.9
910,14000000,281,406,1.35
911,16000000,209,220,0.8
912,14000000,208,202,0.97
913,12000000,197,204,1.18
914,12000000,193,204,1.8
915,12000000,190,189,0.64
916,16000000,168,170,0.31
917,8000000,164,170,1.84
918,4000000,112,133,2.6
919,12000000,110,112,0.9
920,14000000,281,406,1.35
921,16000000,209,220,0.8
922,14000000,208,202,0.97
923,12000000,197,204,1.18
924,12000000,193,204,1.8
925,12000000,190,189,0.64
926,16000000,168,170,0.31
927,8000000,164,170,1.84
928,4000000,112,133,2.6
929,12000000,110,112,0.9
930,14000000,281,406,1.35
931,16000000,209,220,0.8
932,14000000,208,202,0.97
933,12000000,197,204,1.18
934,12000000,193,204,1.8
935,12000000,190,189,0.64
936,16000000,168,170,0.31
937,8000000,164,170,1.84
938,4000000,112,133,2.6
939,12000000,110,112,0.9
940,14000000,281,406,1.35
941,16000000,209,220,0.8
942,14000000,208,202,0.97
943,12000000,197,204,1.18
944,12000000,193,204,1.8
945,12000000,190,189,0.64
946,16000000,168,170,0.31
947,8000000,164,170,1.84
948,4000000,112,133,2.6
949,12000000,110,112,0.9
950,14000000,281,406,1.35
951,16000000,209,220,0.8
952,14000000,208,202,0.97
953,12000000,197,204,1.18
954,12000000,193,204,1.8
955,12000000,190,189,0.64
956,16000000,168,170,0.31
957,8000000,164,170,1.84
958,4000000,112,133,2.6
959,12000000,110,112,0.9
960,14000000,281,406,1.35
961,16000000,209,220,0.8
962,14000000,208,202,0.97
963,12000000,197,204,1.18
964,12000000,193,204,1.8
965,12000000,190,189,0.64
966,16000000,168,170,0.31
967,8000000,164,170,1.84
968,4000000,112,133,2.6
969,12000000,110,112,0.9
970,14000000,281,406,1.35
971,16000000,209,220,0.8
972,14000000,208,202,0.97
973,12000000,197,204,1.18
974,12000000,193,204,1.8
975,12000000,190,189,0.64
976,16000000,168,170,0.31
977,8000000,164,170,1.84
978,4000000,112,133,2.6
979,12000000,110,112,0.9
980,14000000,281,406,1.35
981,16000000,209,220,0.8
982,14000000,208,202,0.97
983,12000000,197,204,1.18
984,12000000,193,204,1.8
985,12000000,190,189,0.64
986,16000000,168,170,0.31
987,8000000,164,170,1.84
988,4000000,112,133,2.6
989,12000000,110,112,0.9
990,14000000,281,406,1.35
991,16000000,209,220,0.8
992,14000000,208,202,0.97
993,12000000,197,204,1.18
994,12000000,193,204,1.8
