n	k	avg_time
3	2	19.28857229
4	2	24.63187528
4	3	17.51573498
5	2	29.44641221
5	3	21.37515559
5	4	17.3750212
6	2	34.81844056
6	3	24.92258263
6	4	20.41700473
6	5	17.87465532
7	2	39.46366694
7	3	28.42925556
7	4	23.5203069
7	5	20.58486915
7	6	18.13726401
8	2	44.67001181
8	3	32.21036627
8	4	26.65605915
8	5	23.32587898
8	6	20.62390769
8	7	18.97838035
9	2	50.27725115
9	3	36.13663659
9	4	29.67597663
9	5	26.10830185
9	6	23.00774615
9	7	21.1340075
9	8	19.62892175
10	2	59.11700723
10	3	43.1504004
10	4	35.57954094
10	5	30.60855808
10	6	27.40350852
10	7	25.48838179
10	8	23.49809713
10	9	21.73158543
11	2	63.5997299
11	3	46.39869664
11	4	38.18506873
11	5	33.21130819
11	6	29.51571648
11	7	27.31433845
11	8	25.19853089
11	9	23.67360761
11	10	22.16234727
12	2	68.77895272
12	3	50.09316421
12	4	41.41727896
12	5	35.97136669
12	6	31.70952106
12	7	29.25295751
12	8	26.92114942
12	9	25.27613308
12	10	24.25048747
12	11	23.2385983
13	2	74.16346159
13	3	53.63010974
13	4	44.61490149
13	5	38.43130074
13	6	34.27011006
13	7	31.64965792
13	8	29.38081841
13	9	27.44176791
13	10	25.9118037
13	11	24.86320188
13	12	24.27593825
14	2	79.22456033
14	3	57.70378568
14	4	47.75547981
14	5	41.40831852
14	6	36.94921858
14	7	33.91865425
14	8	31.43874211
14	9	29.39926147
14	10	27.89450591
14	11	26.81508698
14	12	25.62994623
14	13	24.67593851
15	2	84.18207154
15	3	61.1492851
15	4	50.93052766
15	5	43.92759881
15	6	38.9887219
15	7	35.98457351
15	8	33.22814164
15	9	31.26360462
15	10	29.47478187
15	11	28.37652071
15	12	27.22030218
15	13	26.29118917
15	14	25.47776577
16	2	88.49745917
16	3	64.92435288
16	4	53.60662386
16	5	46.55044444
16	6	41.50835936
16	7	38.29206824
16	8	35.4055815
16	9	33.44836681
16	10	31.34017265
16	11	30.09953465
16	12	29.15431724
16	13	28.23515463
16	14	26.96458404
16	15	26.28225818
17	2	94.15699201
17	3	68.83617799
17	4	57.09932086
17	5	49.39344168
17	6	43.94601259
17	7	40.38456755
17	8	37.31013703
17	9	35.04195907
17	10	33.3193783
17	11	31.96704876
17	12	30.84052215
17	13	29.70041993
17	14	28.84377487
17	15	28.00013449
17	16	27.47714698
18	2	99.62128704
18	3	72.79515088
18	4	59.99926398
18	5	52.00514002
18	6	46.24584134
18	7	42.62798321
18	8	39.55885375
18	9	37.3020498
18	10	35.11516936
18	11	33.73327897
18	12	32.54492466
18	13	31.23344355
18	14	30.35891287
18	15	29.47791488
18	16	28.92824888
18	17	28.20483863
19	2	104.833914
19	3	75.88183944
19	4	63.05892231
19	5	54.76809702
19	6	48.83276606
19	7	44.84178591
19	8	41.44248042
19	9	39.3036458
19	10	37.01061871
19	11	35.62865603
19	12	34.37410672
19	13	33.0395345
19	14	31.92266037
19	15	31.13155241
19	16	30.70206103
19	17	29.52286403
19	18	28.97082686
19	2	104.833914
19	3	75.88183944
19	4	63.05892231
19	5	54.76809702
19	6	48.83276606
19	7	44.84178591
19	8	41.44248042
19	9	39.3036458
19	10	37.01061871
19	11	35.62865603
19	12	34.37410672
19	13	33.0395345
19	14	31.92266037
19	15	31.13155241
19	16	30.70206103
19	17	29.52286403
19	18	28.97082686
20	19	28.97082686
