# Weather data are for lat=49.98, long=-98.04
#
# air_temperature: (°C) mean air temperature
# precipitation: (mm) precipitation
# potential_evapotranspiration: (mm) potential evapotranspiration
#
year,day_of_year,air_temperature,precipitation,potential_evapotranspiration
2024,1,-5.36,0.13,0
2024,2,-7.71,0.12,0
2024,3,-13.39,0.16,0
2024,4,-8.29,0.04,0
2024,5,-8.02,1.39,0
2024,6,-15.45,0.4,0
2024,7,-20.1,0.06,0
2024,8,-17.02,1.88,0
2024,9,-14.73,0.24,0
2024,10,-10.97,4.18,0
2024,11,-19.14,2.28,0
2024,12,-22.27,0.59,0
2024,13,-24.9,0.67,0
2024,14,-26.39,0.15,0
2024,15,-22.89,0.57,0
2024,16,-20.21,0.66,0
2024,17,-20.84,0.38,0
2024,18,-22.86,0.35,0
2024,19,-19.26,0.12,0
2024,20,-17,0.28,0
2024,21,-12.1,0.16,0
2024,22,-15.03,0.28,0
2024,23,-10.41,0.02,0
2024,24,-5.72,0.15,0
2024,25,-7.25,0.08,0
2024,26,-5.91,0.08,0
2024,27,-6.55,0.04,0
2024,28,-3.09,0.07,0
2024,29,-1.27,0.06,0
2024,30,-1.09,0.08,0
2024,31,0.44,0.02,0.088959847
2024,32,-2.53,0.13,0
2024,33,-0.75,0.24,0
2024,34,0.52,0.26,0.072028605
2024,35,1.47,0.56,0.142543056
2024,36,1.46,0.45,0.147167876
2024,37,0.25,0.17,0.025774148
2024,38,0.46,2.08,0.037079231
2024,39,-3.14,3.68,0
2024,40,-10.46,0.17,0
2024,41,-8.4,0.3,0
2024,42,-7.74,0.46,0
2024,43,-6.6,0.1,0
2024,44,-5.33,0.91,0
2024,45,-8.46,0.4,0
2024,46,-18.03,0.1,0
2024,47,-14.82,0.08,0
2024,48,-5.64,0,0
2024,49,-11.4,0.04,0
2024,50,-9.47,0,0
2024,51,-6.87,0.01,0
2024,52,-6.42,0.07,0
2024,53,-4.05,0.38,0
2024,54,-12.18,0.05,0
2024,55,-1.09,0.43,0
2024,56,-5.46,0.06,0
2024,57,-5.94,5.79,0
2024,58,-18.44,0.34,0
2024,59,-17.71,0.07,0
2024,60,-11.47,1.08,0
2024,61,-3.35,0.03,0
2024,62,-9.04,0.17,0
2024,63,-3.56,11.75,0
2024,64,-13.25,0.56,0
2024,65,-16.48,0.03,0
2024,66,-10.35,7.97,0
2024,67,-12.54,0.9,0
2024,68,-13.67,0.36,0
2024,69,-7.56,0.05,0
2024,70,-0.7,0,0
2024,71,2.3,0.6,0.709775118
2024,72,0.69,0.4,0.233826329
2024,73,0.97,1.22,0.227893687
2024,74,-0.48,1.11,0
2024,75,1.81,1.29,0.324756374
2024,76,-4.27,0.21,0
2024,77,-11.32,0.11,0
2024,78,-1.86,0.26,0
2024,79,-6.61,0.11,0
2024,80,-12.52,0.01,0
2024,81,-8.34,0.09,0
2024,82,-11.23,0,0
2024,83,-11.07,0.02,0
2024,84,-9.62,0.25,0
2024,85,-8.95,0.03,0
2024,86,-8.7,0.13,0
2024,87,-8.16,0.07,0
2024,88,-4.88,0.26,0
2024,89,-2.56,2.2,0
2024,90,-1.44,0.16,0
2024,91,-2.8,0.03,0
2024,92,0.1,0.1,0.041936319
2024,93,0.89,0.18,0.23241262
2024,94,2.4,0.01,0.974937873
2024,95,4.12,0,1.454168522
2024,96,6.21,0,1.964041978
2024,97,8.06,0,2.404329026
2024,98,7.57,0,2.120763458
2024,99,7.95,0,1.998881515
2024,100,8.73,0.01,2.682596484
2024,101,8.08,0.82,1.859239203
2024,102,6.4,0.58,1.809291242
2024,103,6.95,0.98,2.14265877
2024,104,11.75,0.03,2.521003039
2024,105,9.38,0,2.939288455
2024,106,9.65,6.54,1.524762151
2024,107,8.48,8.31,0.674358701
2024,108,4.99,4.29,1.096272106
2024,109,0.99,1.56,0.292860338
2024,110,-1.22,1.28,0
2024,111,3.21,0.02,1.366944014
2024,112,7.94,0.17,2.982781259
2024,113,9.62,0.25,2.490083822
2024,114,5.49,0.06,2.305676197
2024,115,10.42,0.31,3.429787416
2024,116,15.07,0.3,3.842719337
2024,117,11.46,13.35,0.952600101
2024,118,5.49,0.94,2.249933921
2024,119,5.56,0.13,2.252389951
2024,120,4.6,0.77,0.854341633
2024,121,7.11,0.19,2.150162026
2024,122,9.46,0.89,2.210091057
2024,123,8.33,13.93,1.110164906
2024,124,8.22,2.73,1.538188677
2024,125,8.53,0.35,1.856583436
2024,126,12.08,0.01,3.67526989
2024,127,14.34,6.65,1.729093662
2024,128,14.55,3.31,1.118147468
2024,129,15.16,0.32,3.587236202
2024,130,15.09,0,4.480602389
2024,131,14.38,0.07,4.356251698
2024,132,17.82,0.01,4.394183856
2024,133,11.44,0.65,4.078027586
2024,134,9.34,0.09,2.497846214
2024,135,10.55,9.87,1.091539822
2024,136,12.25,6.16,2.046827054
2024,137,14.38,1.18,3.324307113
2024,138,16.93,7.18,3.68191416
2024,139,14.28,2.01,2.361429562
2024,140,13.5,0.17,3.00102128
2024,141,12.82,1.55,3.167063727
2024,142,12.09,0.38,3.234888141
2024,143,11.89,0.42,3.270940832
2024,144,10.51,0.83,2.420855694
2024,145,5.16,53.93,0.511297016
2024,146,7.8,1.57,1.890149013
2024,147,11.83,0.61,3.605363478
2024,148,12.03,1.66,2.753344875
2024,149,11.53,0.12,2.965289339
2024,150,15.75,0,5.13443927
2024,151,16.97,3.89,3.119003419
2024,152,15.21,0.54,4.381042334
2024,153,16.23,0.57,4.798100309
2024,154,14.85,10.77,2.773359637
2024,155,16.33,0.17,3.891343595
2024,156,16.8,19.18,3.160040259
2024,157,15.62,0.31,3.4219659
2024,158,13.48,0.26,3.189740976
2024,159,16.21,0.24,4.037263136
2024,160,15.72,0.03,5.034326803
2024,161,12.45,0.07,3.857900703
2024,162,15.28,6.16,2.286656037
2024,163,17.22,0.4,4.262242319
2024,164,17.43,3.06,4.998903903
2024,165,16.29,0.84,3.708951286
2024,166,20,0.19,5.570300023
2024,167,22.04,2.69,4.641913057
2024,168,18.96,8.79,5.537708546
2024,169,15.02,13.69,3.463485196
2024,170,13.94,15.25,1.680163534
